case_number,plot,focal_node,focal_area_id,school_id,centroid_node,centroid_area_id,distance_to_centroid_miles,plot_radius_miles,closer_candidate_count
219,case_0219_block_60750179021012_school_481.png,1729,60750179021012,481,3793,60750260031009,7.519900598242655,,0
220,case_0220_block_60750179021012_school_488.png,1729,60750179021012,488,4863,60750309005018,8.166980681591562,,0
221,case_0221_block_60750179021012_school_497.png,1729,60750179021012,497,2594,60750227022009,4.286215499391922,,0
222,case_0222_block_60750179021012_school_505.png,1729,60750179021012,505,2085,60750205002004,5.529569054477975,,0
223,case_0223_block_60750179021012_school_507.png,1729,60750179021012,507,2868,60750230032002,6.190423944282879,,0
224,case_0224_block_60750179021012_school_513.png,1729,60750179021012,513,3650,60750257023005,6.672387415075095,,0
225,case_0225_block_60750179021012_school_521.png,1729,60750179021012,521,7117,60759805011010,7.399526391692039,,0
226,case_0226_block_60750179021012_school_575.png,1729,60750179021012,575,4995,60750311001020,6.937438063271721,,0
227,case_0227_block_60750179021012_school_593.png,1729,60750179021012,593,4061,60750263022007,8.302627692270892,,0
228,case_0228_block_60750179021012_school_603.png,1729,60750179021012,603,2712,60750228031005,5.067997240978648,,0
229,case_0229_block_60750179021012_school_614.png,1729,60750179021012,614,3501,60750256002003,6.812819704690444,,0
230,case_0230_block_60750179021012_school_656.png,1729,60750179021012,656,3265,60750254013000,6.358155296587486,,0
231,case_0231_block_60750179021012_school_680.png,1729,60750179021012,680,3150,60750252001002,5.454391735681336,,0
232,case_0232_block_60750179021012_school_691.png,1729,60750179021012,691,4093,60750263031002,8.625119963861925,,0
233,case_0233_block_60750179021012_school_722.png,1729,60750179021012,722,4625,60750307001022,7.048222055174986,,0
234,case_0234_block_60750179021012_school_723.png,1729,60750179021012,723,2707,60750228031000,4.910337180903911,,0
235,case_0235_block_60750179021012_school_729.png,1729,60750179021012,729,3738,60750260011000,7.245659774337061,,0
236,case_0236_block_60750179021012_school_746.png,1729,60750179021012,746,5155,60750313021003,8.80032121308928,,0
237,case_0237_block_60750179021012_school_816.png,1729,60750179021012,816,1974,60750203002001,5.016142934835102,,0
238,case_0238_block_60750179021012_school_820.png,1729,60750179021012,820,5240,60750314004002,8.759477533139515,,0
239,case_0239_block_60750179021012_school_838.png,1729,60750179021012,838,6848,60750614001002,4.833634309270924,,0
240,case_0240_block_60750179021012_school_842.png,1729,60750179021012,842,5035,60750311004007,7.452657986738359,,0
241,case_0241_block_60750179021012_school_867.png,1729,60750179021012,867,4141,60750264012005,7.688265967923985,,0
242,case_0242_block_60750179021012_school_999.png,1729,60750179021012,999,6635,60750607001031,3.5926856233241606,,0
243,case_0243_block_60750179021015_school_413.png,1732,60750179021015,413,6007,60750426011000,6.411779154541993,,0
244,case_0244_block_60750179021015_school_435.png,1732,60750179021015,435,6191,60750476003004,6.386247140379884,,0
245,case_0245_block_60750179021015_school_525.png,1732,60750179021015,525,965,60750153001002,4.263698793129782,,0
246,case_0246_block_60750179021015_school_539.png,1732,60750179021015,539,5505,60750330002005,8.183130740060138,,0
247,case_0247_block_60750179021015_school_544.png,1732,60750179021015,544,5762,60750351004006,8.23874526344535,,0
248,case_0248_block_60750179021015_school_549.png,1732,60750179021015,549,6133,60750452002000,5.82886360031376,,0
249,case_0249_block_60750179021015_school_562.png,1732,60750179021015,562,142,60750104003012,2.2750584910641405,,0
250,case_0250_block_60750179021015_school_569.png,1732,60750179021015,569,5982,60750402001005,5.563698409546726,,0
251,case_0251_block_60750179021015_school_589.png,1732,60750179021015,589,1499,60750171022001,5.83331078475438,,0
252,case_0252_block_60750179021015_school_638.png,1732,60750179021015,638,238,60750107002003,2.646025193966936,,0
253,case_0253_block_60750179021015_school_644.png,1732,60750179021015,644,4319,60750302012005,6.92239020396067,,0
254,case_0254_block_60750179021015_school_664.png,1732,60750179021015,664,6257,60750478012003,7.322487340825029,,0
255,case_0255_block_60750179021015_school_735.png,1732,60750179021015,735,1320,60750165003002,5.328307380865083,,0
256,case_0256_block_60750179021015_school_750.png,1732,60750179021015,750,5849,60750353001001,8.40275000420673,,0
257,case_0257_block_60750179021015_school_782.png,1732,60750179021015,782,5427,60750329011006,8.21549835389619,,0
258,case_0258_block_60750179021015_school_786.png,1732,60750179021015,786,1171,60750159001003,4.048121979200489,,0
259,case_0259_block_60750179021015_school_790.png,1732,60750179021015,790,344,60750111003002,3.3805135083343547,,0
260,case_0260_block_60750179021015_school_801.png,1732,60750179021015,801,101,60750103001013,2.6970402072225497,,0
261,case_0261_block_60750179021015_school_823.png,1732,60750179021015,823,757,60750130001002,3.271777501857322,,0
262,case_0262_block_60750179021015_school_834.png,1732,60750179021015,834,317,60750110002005,3.1261753785818835,,0
263,case_0263_block_60750179021015_school_848.png,1732,60750179021015,848,5996,60750402003004,5.876528078873914,,0
